full_name,short_name,abbreviation,enactment_year,repealed_by,category,regex_pattern
"Indian Penal Code, 1860","Indian Penal Code","IPC",1860,"BNS, 2023","Criminal","(?i)\b(?:I\.?P\.?C\.?|Indian Penal Code)\b"
"Code of Criminal Procedure, 1973","Code of Criminal Procedure","CrPC",1973,"BNSS, 2023","Criminal","(?i)\b(?:Cr\.?P\.?C\.?|Code of Criminal Procedure)\b"
"Indian Evidence Act, 1872","Indian Evidence Act","IEA",1872,"BSA, 2023","Criminal/Evidence","(?i)\b(?:I\.?E\.?A\.?|Indian Evidence Act|Evidence Act)\b"
"Bharatiya Nyaya Sanhita, 2023","Bharatiya Nyaya Sanhita","BNS",2023,"","Criminal","(?i)\b(?:B\.?N\.?S\.?|Bharatiya Nyaya Sanhita)\b"
"Bharatiya Nagarik Suraksha Sanhita, 2023","Bharatiya Nagarik Suraksha Sanhita","BNSS",2023,"","Criminal","(?i)\b(?:B\.?N\.?S\.?S\.?|Bharatiya Nagarik Suraksha Sanhita)\b"
"Bharatiya Sakshya Adhiniyam, 2023","Bharatiya Sakshya Adhiniyam","BSA",2023,"","Criminal/Evidence","(?i)\b(?:B\.?S\.?A\.?|Bharatiya Sakshya Adhiniyam)\b"
"Constitution of India, 1950","Constitution of India","COI",1950,"","Constitutional","(?i)\b(?:Constitution of India|the Constitution)\b"
"Code of Civil Procedure, 1908","Code of Civil Procedure","CPC",1908,"","Civil","(?i)\b(?:C\.?P\.?C\.?|Code of Civil Procedure)\b"
"Narcotic Drugs and Psychotropic Substances Act, 1985","Narcotic Drugs and Psychotropic Substances Act","NDPS",1985,"","Special Criminal","(?i)\b(?:N\.?D\.?P\.?S\.?(?:\s+Act)?|Narcotic Drugs and Psychotropic Substances Act)\b"
"Prevention of Money Laundering Act, 2002","Prevention of Money Laundering Act","PMLA",2002,"","Special Criminal/Economic","(?i)\b(?:P\.?M\.?L\.?A\.?(?:\s+Act)?|Prevention of Money Laundering Act)\b"
"Protection of Children from Sexual Offences Act, 2012","Protection of Children from Sexual Offences Act","POCSO",2012,"","Special Criminal","(?i)\b(?:P\.?O\.?C\.?S\.?O\.?(?:\s+Act)?|Protection of Children from Sexual Offences Act)\b"
"Unlawful Activities (Prevention) Act, 1967","Unlawful Activities (Prevention) Act","UAPA",1967,"","Special Criminal/Security","(?i)\b(?:U\.?A\.?P\.?A\.?(?:\s+Act)?|Unlawful Activities\s*\(\s*Prevention\s*\)\s*Act)\b"
"Prevention of Corruption Act, 1988","Prevention of Corruption Act","PCA",1988,"","Special Criminal/Corruption","(?i)\b(?:P\.?C\.?\s*Act|Prevention of Corruption Act)\b"
"Negotiable Instruments Act, 1881","Negotiable Instruments Act","NI Act",1881,"","Commercial/Criminal","(?i)\b(?:N\.?I\.?\s*Act|Negotiable Instruments Act)\b"
"Arms Act, 1959","Arms Act","Arms Act",1959,"","Special Criminal","(?i)\b(?:Arms Act(?:,\s*1959)?)\b"
"Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989","SC/ST (Prevention of Atrocities) Act","SC/ST Act",1989,"","Special Criminal/Civil Rights","(?i)\b(?:SC\s*/\s*ST\s*Act|SC\s*&\s*ST\s*Act|Prevention of Atrocities Act|Scheduled Castes and Scheduled Tribes.*?Act)\b"
"Motor Vehicles Act, 1988","Motor Vehicles Act","MVA",1988,"","Transport/Civil","(?i)\b(?:M\.?V\.?\s*Act|Motor Vehicles Act)\b"
"Juvenile Justice (Care and Protection of Children) Act, 2015","Juvenile Justice Act","JJ Act",2015,"","Family/Criminal","(?i)\b(?:J\.?J\.?\s*Act|Juvenile Justice.*?Act)\b"
"Information Technology Act, 2000","Information Technology Act","IT Act",2000,"","Cyber/Commercial","(?i)\b(?:I\.?T\.?\s*Act(?:,\s*2000)?|Information Technology Act)\b"
"Indian Contract Act, 1872","Indian Contract Act","ICA",1872,"","Commercial/Civil","(?i)\b(?:Indian Contract Act|Contract Act(?:,\s*1872)?)\b"
"Specific Relief Act, 1963","Specific Relief Act","SRA",1963,"","Civil","(?i)\b(?:Specific Relief Act(?:,\s*1963)?)\b"
"Limitation Act, 1963","Limitation Act","Limitation Act",1963,"","Civil/Procedural","(?i)\b(?:Limitation Act(?:,\s*1963)?)\b"
"Arbitration and Conciliation Act, 1996","Arbitration and Conciliation Act","A&C Act",1996,"","Commercial/Dispute Resolution","(?i)\b(?:Arbitration and Conciliation Act|Arbitration Act(?:,\s*1996)?|A&C Act)\b"
"Insolvency and Bankruptcy Code, 2016","Insolvency and Bankruptcy Code","IBC",2016,"","Commercial/Insolvency","(?i)\b(?:I\.?B\.?C\.?(?:,\s*2016)?|Insolvency and Bankruptcy Code)\b"
"Companies Act, 2013","Companies Act, 2013","Companies Act 2013",2013,"","Corporate","(?i)\b(?:Companies Act(?:,\s*2013)?)\b"
"Companies Act, 1956","Companies Act, 1956","Companies Act 1956",1956,"Companies Act, 2013","Corporate","(?i)\b(?:Companies Act(?:,\s*1956)?)\b"
"Consumer Protection Act, 2019","Consumer Protection Act, 2019","CPA 2019",2019,"","Consumer","(?i)\b(?:Consumer Protection Act(?:,\s*2019)?|COPRA 2019)\b"
"Consumer Protection Act, 1986","Consumer Protection Act, 1986","CPA 1986",1986,"Consumer Protection Act, 2019","Consumer","(?i)\b(?:Consumer Protection Act(?:,\s*1986)?|COPRA 1986)\b"
"Transfer of Property Act, 1882","Transfer of Property Act","TPA",1882,"","Property/Civil","(?i)\b(?:Transfer of Property Act|T\.?P\.?\s*Act)\b"
"Indian Partnership Act, 1932","Indian Partnership Act","Partnership Act",1932,"","Commercial","(?i)\b(?:Indian Partnership Act|Partnership Act(?:,\s*1932)?)\b"
"Limited Liability Partnership Act, 2008","Limited Liability Partnership Act","LLP Act",2008,"","Corporate","(?i)\b(?:Limited Liability Partnership Act|L\.?L\.?P\.?\s*Act)\b"
"Sale of Goods Act, 1930","Sale of Goods Act","SOGA",1930,"","Commercial","(?i)\b(?:Sale of Goods Act(?:,\s*1930)?)\b"
"Competition Act, 2002","Competition Act","Competition Act",2002,"","Commercial/Antitrust","(?i)\b(?:Competition Act(?:,\s*2002)?)\b"
"Real Estate (Regulation and Development) Act, 2016","Real Estate Regulation Act","RERA",2016,"","Property/Commercial","(?i)\b(?:R\.?E\.?R\.?A\.?(?:\s*Act)?|Real Estate.*?Act)\b"
"Hindu Marriage Act, 1955","Hindu Marriage Act","HMA",1955,"","Family/Personal","(?i)\b(?:H\.?M\.?A\.?|Hindu Marriage Act)\b"
"Hindu Succession Act, 1956","Hindu Succession Act","HSA",1956,"","Family/Property","(?i)\b(?:H\.?S\.?A\.?|Hindu Succession Act)\b"
"Hindu Minority and Guardianship Act, 1956","Hindu Minority and Guardianship Act","HMGA",1956,"","Family/Personal","(?i)\b(?:H\.?M\.?G\.?A\.?|Hindu Minority and Guardianship Act)\b"
"Hindu Adoptions and Maintenance Act, 1956","Hindu Adoptions and Maintenance Act","HAMA",1956,"","Family/Personal","(?i)\b(?:H\.?A\.?M\.?A\.?|Hindu Adoptions and Maintenance Act)\b"
"Special Marriage Act, 1954","Special Marriage Act","SMA",1954,"","Family/Personal","(?i)\b(?:Special Marriage Act(?:,\s*1954)?|S\.?M\.?A\.?)\b"
"Guardians and Wards Act, 1890","Guardians and Wards Act","GWA",1890,"","Family/Personal","(?i)\b(?:Guardians and Wards Act|G\.?W\.?\s*Act)\b"
"Protection of Women from Domestic Violence Act, 2005","Domestic Violence Act","DV Act",2005,"","Family/Criminal","(?i)\b(?:Domestic Violence Act|P\.?W\.?D\.?V\.?\s*Act|D\.?V\.?\s*Act)\b"
"Muslim Personal Law (Shariat) Application Act, 1937","Shariat Application Act","Shariat Act",1937,"","Family/Personal","(?i)\b(?:Shariat Application Act|Muslim Personal Law.*?Act)\b"
"Dissolution of Muslim Marriages Act, 1939","Dissolution of Muslim Marriages Act","DMMA",1939,"","Family/Personal","(?i)\b(?:Dissolution of Muslim Marriages Act)\b"
